,source,reqs
0,0000 - gamma j.xml,Upon the USB being plugged in the system shall be able to be deployed and operational in less than 1 minute.
1,0000 - gamma j.xml,The system shall be able to handle 1000 customers logged in concurrently at the same time.
2,0000 - gamma j.xml,The system shall be able to retrieve 200 products per second.
3,0000 - gamma j.xml,The system shall be able to add product to shopping cart in less than 2ms.
4,0000 - gamma j.xml,The system shall be able to search for a specified product in less than 1 second.
5,0000 - gamma j.xml,The system shall be able to email customer and vendor in less than 1 second.
6,0000 - gamma j.xml,The system shall be able to validate credit card in less than 2 seconds.
7,0000 - gamma j.xml,The system shall be able to acquire shipping charges in less than 2 seconds.
8,0000 - gamma j.xml,The system shall be able to restore 1000 records per second.
9,0000 - gamma j.xml,The system will do periodic backups through a live internet connection.
10,0000 - gamma j.xml,The system shall validate credit cards against fraud.
11,0000 - gamma j.xml,The system shall encrypt all sensitive information via https.
12,0000 - gamma j.xml,The system shall encrypt all customer data in database.
13,0000 - gamma j.xml,The system shall auto detect IP DOS attacks and block IP automatically.
14,0000 - gamma j.xml,The system shall detect consecutive failed login attempts.
15,0000 - gamma j.xml,The system shall be protected by open source firewall called Firestarter. http://www.fs-security.com/
16,0000 - gamma j.xml,The system shall have an availability of 99.99%.
17,0000 - gamma j.xml,The system shall perform searches via Dijkstra's shortest path algorithm.
18,0000 - gamma j.xml,"For returning customers, the system shall validate 'existing' credit card in system  after each log in."
19,0000 - gamma j.xml,The system shall automatically compress image files that are too large in size.
20,0000 - gamma j.xml,The system will employ on demand asynchronous loading for faster execution of pages.
21,0000 - gamma j.xml,The system shall validate email address existence.
22,0000 - gamma j.xml,The system shall be easy to use
23,0000 - gamma j.xml,The system shall be easy to learn
24,0000 - gamma j.xml,"The system shall utilize help bubbles to assist managers, customers, and administrators"
25,0000 - gamma j.xml,The system shall employ easy to locate buttons
26,0000 - gamma j.xml,The system shall prompt customer with friend easy to read error messages.
27,0000 - gamma j.xml,The system shall utilize consistent symbols and colors for clear notifications.
28,0000 - gamma j.xml,The system shall utilize interchangeable plugins.
29,0000 - gamma j.xml,The system shall be easily updatable for fixes and patches.
30,0000 - gamma j.xml,"The system shall create logs of all changes, updates, or fixes that are done to the site."
31,0000 - gamma j.xml,The system shall be easy to upgrade.
32,0000 - gamma j.xml,The system shall be extremely portable via the usb drive.
33,0000 - gamma j.xml,The system shall be easy to migrate or backed up via another usb drive.
34,0000 - gamma j.xml,The system should be able to run under debug mode.
35,0000 - gamma j.xml,The system should be able to run test credit card transactions.
36,0000 - gamma j.xml,The system should be able to run test shipping orders.
37,0000 - gamma j.xml,The system should be able to create test environment of weborder system.
38,0000 - gamma j.xml,The system hardware shall be fixed and patched via an internet connection.
39,0000 - gamma j.xml,Yoggie shall coordinate on future enhancement and features with our  organization.
