reqs,is_functional
The RFS system should be available 24/7 especially during the budgeting period. The RFS system shall be available 90% of the time all year and 98% during the budgeting period. 2% of the time the system will become available within 1 hour of the time that the situation is reported.,0
The WASP platform should be able to decide how to notify the user of an alert for which an event was set.,1
"The system must enable selective harvesting of metadata, including support for OAI-PMH sets; offer API functionality to re-users, conforming to open standards.",1
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site including the clinical site name site contact person contact information and address.,1
The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,0
The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,0
Users shall be able to view at least 25 NFL player statistics and points on each page.,1
Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,1
The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,1
The product shall assign the organizers contact information to each meeting they create.,1
The product shall produce search results in an acceptable time,1
The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.,0
The realtor shall be notified of new client appointments after automatic synchronization with office system,1
All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,1
The search results shall be returned no later 30 seconds after the user has entered the search criteria,1
Only administrators can activate a pre-paid card.,0
User shall be able to create a directed link between requirements in the same document,1
"The system should generate reports on the number and origins of repository end users, including by domain type and geographical location.",1
The streaming server will have anti-virus software to prevent infection of malicious viruses.,0
The GCSMiddleware shall handle multiple GCS,1
The leads washing functionality will validate all leads received by the web service for valid data,1
The website will allow customers to search for movies by title actor or director.,1
Product shall allow entering storing and modifying product menus used by POS terminals.,1
The GCSMiddleware shall handle state messages   monitoring messages  and mode change messages  received from an GCS.,1
The system shall filter data by: Venues and Key Events.,1
The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,0
"The system should be able to support rapid prototyping, so proof of concept work can be carried out quickly and easily.",0
Website shall allow customers to add their own movie review for a selected movie.,1
The RealTimeFlightUI shall display the location of active UAVs as icons on the map.,1
The system shall be able to call the seller or buyer to schedule an appointment,1
The look and feel of the system shall conform to the user interface standards of the smart device.,0
The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.,0
The system must support current open standards and support exposure of metadata in different ways.,0
2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,1
The leads washing functionality shall receive a period list of available reps from the enterprise system.,1
Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,0
The RealTimeFlightUI shall allow users to follow one or multiple UAVs on the map.,1
100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,0
The WASP platform shall provide functionality for end-users to communicate with their buddies.,1
The system must enable extraction of metadata and data in an open format e.g. to enable migration to another repository platform.,1
The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,0
"The system must ingest and store metadata at a data object level, where a data object is a folder that contains one or more files",1
User shall be able to show / hide each Requirements Table column except ID and Description columns,1
ll additions of new users and modifications to user's access shall be recorded on the User Report.,1
The product shall be able to store new room equipment.,1
